Uniprot_protein,Ensembl_gene,Ensembl_transcript,Ensembl_protein,Gene,Chr,Protein_length
P57727,ENSG00000160183.16,ENST00000433957.7,ENSP00000411013.3,TMPRSS3,21,454
Q9NXH9,ENSG00000104907.12,ENST00000437766.5,ENSP00000416149.1,TRMT1,19,659
P40238,ENSG00000117400.18,ENST00000372470.9,ENSP00000361548.3,MPL,1,635
Q12931,ENSG00000126602.11,ENST00000246957.10,ENSP00000246957.5,TRAP1,16,704
O14717,ENSG00000107614.22,ENST00000377799.8,ENSP00000367030.3,TRDMT1,10,391
Q13049,ENSG00000119401.10,ENST00000450136.1,ENSP00000408292.1,TRIM32,9,653
Q96NM4,ENSG00000124191.18,ENST00000358131.5,ENSP00000350849.5,TOX2,20,488
O95985,ENSG00000100038.19,ENST00000398793.6,ENSP00000381773.2,TOP3B,22,862
Q6P9F5,ENSG00000237046.8,ENST00000549728.2,ENSP00000447016.1,TRIM40,CHR_HSCHR6_MHC_MANN_CTG1,258
O75962,ENSG00000038382.20,ENST00000344204.9,ENSP00000339299.4,TRIO,5,3097
P17643,ENSG00000107165.13,ENST00000388918.10,ENSP00000373570.4,TYRP1,9,537
Q9BSJ1,ENSG00000124900.12,ENST00000449290.6,ENSP00000395086.2,TRIM51,11,452
A0A5B6,ENSG00000211753.4,ENST00000390400.2,ENSP00000374923.2,TRBV28,7,114
Q8WWH5,ENSG00000165832.6,ENST00000298746.5,ENSP00000298746.3,TRUB1,10,349
Q9BRA2,ENSG00000129235.11,ENST00000250101.10,ENSP00000250101.5,TXNDC17,17,123
Q96NG3,ENSG00000204815.10,ENST00000377540.6,ENSP00000478589.1,TTC25,17,672
Q15661,ENSG00000172236.17,ENST00000338844.8,ENSP00000343577.3,TPSAB1,16,275
D6R901,ENSG00000249811.2,ENST00000506414.1,ENSP00000422216.1,USP17L21,4,530
Q5R3I4,ENSG00000075234.17,ENST00000381031.8,ENSP00000370419.3,TTC38,22,469
Q14166,ENSG00000100304.13,ENST00000216129.7,ENSP00000216129.6,TTLL12,22,644
Q8N427,ENSG00000086288.12,ENST00000440017.5,ENSP00000397063.1,NME8,7,588
Q96QT4,ENSG00000092439.16,ENST00000646667.1,ENSP00000495860.1,TRPM7,15,1865
Q8N3L3,ENSG00000164440.15,ENST00000358430.8,ENSP00000351206.3,TXLNB,6,684
P29597,ENSG00000105397.14,ENST00000264818.10,ENSP00000264818.6,TYK2,19,1187
P62837,ENSG00000131508.16,ENST00000398734.8,ENSP00000381718.4,UBE2D2,5,147
F5GYI3,ENSG00000246922.8,ENST00000502113.2,ENSP00000440243.1,UBAP1L,15,381
Q9NPG3,ENSG00000118900.15,ENST00000396658.8,ENSP00000379894.3,UBN1,16,1134
Q96RL1,ENSG00000087206.17,ENST00000511320.6,ENSP00000421926.1,UIMC1,5,719
P22309,ENSG00000241635.8,ENST00000305208.10,ENSP00000304845.5,UGT1A1,2,533
Q9Y2C2,ENSG00000111962.8,ENST00000367463.5,ENSP00000356433.4,UST,6,406
Q8IX04,ENSG00000151116.17,ENST00000396197.8,ENSP00000379500.2,UEVLD,11,471
P0DTE5,ENSG00000271271.5,ENST00000604629.5,ENSP00000475028.2,UGT2A2,4,536
Q86UV5,ENSG00000090686.16,ENST00000308271.14,ENSP00000309262.9,USP48,1,1035
Q9ULK5,ENSG00000162738.6,ENST00000368061.3,ENSP00000357040.2,VANGL2,1,521
P47901,ENSG00000198049.7,ENST00000367126.5,ENSP00000356094.4,AVPR1B,1,424
Q5GH70,ENSG00000221947.8,ENST00000520030.5,ENSP00000431088.1,XKR9,8,373
Q9H1J7,ENSG00000111186.13,ENST00000537031.5,ENSP00000439312.1,WNT5B,12,359
O14904,ENSG00000143816.8,ENST00000272164.6,ENSP00000272164.5,WNT9A,1,365
Q5T9L3,ENSG00000116729.14,ENST00000262348.9,ENSP00000262348.4,WLS,1,541
O76024,ENSG00000109501.14,ENST00000226760.5,ENSP00000226760.1,WFS1,4,890
Q14588,ENSG00000263002.8,ENST00000426739.7,ENSP00000400878.1,ZNF234,19,700
Q6NXT4,ENSG00000152683.14,ENST00000282587.9,ENSP00000282587.5,SLC30A6,2,461
Q9H609,ENSG00000124444.16,ENST00000336564.5,ENSP00000337852.4,ZNF576,19,170
O43257,ENSG00000106400.12,ENST00000305105.3,ENSP00000304593.2,ZNHIT1,7,154
Q03923,ENSG00000278091.4,ENST00000615320.4,ENSP00000483118.1,ZNF85,CHR_HSCHR19_1_CTG2,595
Q96IT1,ENSG00000162714.12,ENST00000294753.8,ENSP00000294753.4,ZNF496,1,587
P17098,ENSG00000278129.2,ENST00000621650.2,ENSP00000477716.1,ZNF8,19,575
Q9NTW7,ENSG00000020256.20,ENST00000361387.6,ENSP00000355179.2,ZFP64,20,645
Q6P9A3,ENSG00000121406.9,ENST00000376233.8,ENSP00000365407.2,ZNF549,19,640
Q86XF7,ENSG00000176472.10,ENST00000601282.1,ENSP00000472578.1,ZNF575,19,245
Q8N720,ENSG00000197343.11,ENST00000394163.2,ENSP00000377718.2,ZNF655,7,491
Q6ZN57,ENSG00000198939.8,ENST00000523286.1,ENSP00000430531.1,ZFP2,5,461
Q49AG3,ENSG00000236287.8,ENST00000413761.7,ENSP00000415939.2,ZBED5,11,693
Q9C0A1,ENSG00000136367.14,ENST00000419474.5,ENSP00000413418.2,ZFHX2,14,2572
Q8N122,ENSG00000141564.15,ENST00000306801.8,ENSP00000307272.3,RPTOR,17,1335
P61619,ENSG00000058262.10,ENST00000243253.8,ENSP00000243253.3,SEC61A1,3,476
P58743,ENSG00000170615.15,ENST00000306312.8,ENSP00000304783.3,SLC26A5,7,744
P82912,ENSG00000181991.16,ENST00000325844.9,ENSP00000317376.4,MRPS11,15,194
Q96H78,ENSG00000160785.13,ENST00000359511.4,ENSP00000352497.4,SLC25A44,1,314
O43304,ENSG00000103184.12,ENST00000251170.12,ENSP00000251170.6,SEC14L5,16,696
Q96QD8,ENSG00000134294.14,ENST00000256689.10,ENSP00000256689.5,SLC38A2,12,506
Q7Z2H8,ENSG00000123643.13,ENST00000243389.8,ENSP00000243389.3,SLC36A1,5,476
Q96KT7,ENSG00000285084.1,ENST00000646844.1,ENSP00000495515.1,SLC35G5,CHR_HG76_PATCH,338
P0DJI9,ENSG00000134339.8,ENST00000526900.1,ENSP00000436126.1,SAA2,11,122
Q9BZV2,ENSG00000135917.15,ENST00000258403.8,ENSP00000258403.3,SLC19A3,2,496
Q9Y3D9,ENSG00000181610.13,ENST00000313608.13,ENSP00000320184.8,MRPS23,17,190
Q7Z3Q1,ENSG00000139508.14,ENST00000266943.10,ENSP00000266943.6,SLC46A3,13,461
Q86VV8,ENSG00000176225.14,ENST00000640769.2,ENSP00000491507.1,RTTN,18,2226
Q5TZJ5,ENSG00000204849.9,ENST00000377647.6,ENSP00000366875.5,SPATA31A1,9,1347
P05109,ENSG00000143546.10,ENST00000368733.4,ENSP00000357722.3,S100A8,1,93
Q9UPN6,ENSG00000213079.9,ENST00000367178.7,ENSP00000356146.3,SCAF8,6,1271
P48029,ENSG00000130821.16,ENST00000253122.10,ENSP00000253122.5,SLC6A8,X,635
P0DMW4,ENSG00000178947.9,ENST00000417443.3,ENSP00000488643.1,SMIM10L2A,X,78
Q12884,ENSG00000078098.14,ENST00000188790.9,ENSP00000188790.4,FAP,2,760
Q8NFY4,ENSG00000137872.16,ENST00000316364.9,ENSP00000324857.5,SEMA6D,15,1073
Q969X2,ENSG00000160408.14,ENST00000373146.5,ENSP00000362239.1,ST6GALNAC6,9,333
Q15427,ENSG00000143368.10,ENST00000271628.9,ENSP00000271628.8,SF3B4,1,424
Q8WWX9,ENSG00000198832.10,ENST00000400299.6,ENSP00000383155.2,SELENOM,22,145
P84022,ENSG00000166949.16,ENST00000327367.9,ENSP00000332973.4,SMAD3,15,425
P08240,ENSG00000182934.12,ENST00000332118.11,ENSP00000328023.5,SRPRA,11,638
O43278,ENSG00000166145.14,ENST00000344051.8,ENSP00000342098.4,SPINT1,15,529
Q9H3E2,ENSG00000109762.16,ENST00000264694.13,ENSP00000264694.8,SNX25,4,840
Q14159,ENSG00000164808.17,ENST00000297423.9,ENSP00000297423.4,SPIDR,8,915
Q8TCT8,ENSG00000138600.10,ENST00000261854.10,ENSP00000261854.5,SPPL2A,15,520
Q5TAH2,ENSG00000162753.13,ENST00000367714.4,ENSP00000356687.3,SLC9C2,1,1124
Q96A44,ENSG00000175093.5,ENST00000310546.3,ENSP00000311609.2,SPSB4,3,273
Q13424,ENSG00000101400.6,ENST00000217381.3,ENSP00000217381.2,SNTA1,20,505
P56962,ENSG00000136874.11,ENST00000534052.1,ENSP00000433484.1,STX17,9,302
Q9Y365,ENSG00000214530.9,ENST00000334805.10,ENSP00000335247.6,STARD10,11,291
Q658P3,ENSG00000115107.20,ENST00000393107.2,ENSP00000376819.2,STEAP3,2,488
Q9P289,ENSG00000134602.16,ENST00000394334.7,ENSP00000377867.2,STK26,X,416
P07814,ENSG00000136628.18,ENST00000366923.8,ENSP00000355890.3,EPRS1,1,1512
O15533,ENSG00000112493.12,ENST00000374572.7,ENSP00000363700.3,TAPBP,CHR_HSCHR6_MHC_COX_CTG1,448
Q9NQ86,ENSG00000152503.9,ENST00000282369.7,ENSP00000282369.3,TRIM36,5,728
Q5T0D9,ENSG00000158109.15,ENST00000378344.7,ENSP00000367595.2,TPRG1L,1,272
Q99603,ENSG00000211695.2,ENST00000444775.2,ENSP00000391561.2,TRGV9,7,122
A1L157,ENSG00000110900.15,ENST00000261177.10,ENSP00000261177.9,TSPAN11,12,253
A8MYJ7,ENSG00000215912.12,ENST00000637179.1,ENSP00000490537.1,TTC34,1,566
Q96PF2,ENSG00000206203.5,ENST00000399635.4,ENSP00000382544.2,TSSK2,22,358
Q9NV66,ENSG00000198874.13,ENST00000359626.10,ENSP00000352645.5,TYW1,7,732
Q8TB05,ENSG00000153443.13,ENST00000283474.12,ENSP00000283474.6,UBALD1,16,177
Q6A555,ENSG00000204193.11,ENST00000374511.7,ENSP00000363635.3,TXNDC8,9,127
Q6ZSZ6,ENSG00000179981.10,ENST00000580243.2,ENSP00000464391.1,TSHZ1,18,1077
Q8NER1,ENSG00000196689.12,ENST00000399756.8,ENSP00000382659.4,TRPV1,17,839
Q9Y5S1,ENSG00000187688.15,ENST00000338560.12,ENSP00000342222.7,TRPV2,17,764
O00762,ENSG00000175063.17,ENST00000356455.9,ENSP00000348838.4,UBE2C,20,179
Q86TN4,ENSG00000149743.14,ENST00000317459.11,ENSP00000314073.6,TRPT1,11,253
A0A0A6YYG2,ENSG00000211724.3,ENST00000390371.3,ENSP00000374894.3,TRBV6-6,7,114
Q96PU4,ENSG00000147854.17,ENST00000276893.10,ENSP00000276893.5,UHRF2,9,802
P19224,ENSG00000167165.19,ENST00000305139.11,ENSP00000303174.6,UGT1A6,2,532
Q14CS0,ENSG00000215114.9,ENST00000399598.7,ENSP00000382507.2,UBXN2B,8,331
Q68DE3,ENSG00000176542.10,ENST00000316407.9,ENSP00000320794.4,USF3,3,2245
P62256,ENSG00000186591.13,ENST00000355621.8,ENSP00000347836.3,UBE2H,7,183
Q9HBJ7,ENSG00000131864.10,ENST00000598197.1,ENSP00000470747.1,USP29,19,922
P45974,ENSG00000111667.13,ENST00000229268.12,ENSP00000229268.8,USP5,12,858
Q86T82,ENSG00000135913.11,ENST00000418019.5,ENSP00000396585.1,USP37,2,979
Q9P1Q0,ENSG00000143952.20,ENST00000272322.9,ENSP00000272322.4,VPS54,2,977
P40337,ENSG00000134086.7,ENST00000256474.2,ENSP00000256474.2,VHL,3,213
O95292,ENSG00000124164.16,ENST00000475243.6,ENSP00000417175.1,VAPB,20,243
O15342,ENSG00000113732.9,ENST00000517669.1,ENSP00000427941.1,ATP6V0E1,5,81
B2RUY7,ENSG00000174453.10,ENST00000312504.10,ENSP00000308976.5,VWC2L,2,222
Q9UPY5,ENSG00000151012.13,ENST00000280612.9,ENSP00000280612.5,SLC7A11,4,501
Q8NEZ3,ENSG00000157796.18,ENST00000399820.8,ENSP00000382717.3,WDR19,4,1342
Q8IZU2,ENSG00000150627.15,ENST00000280190.8,ENSP00000280190.4,WDR17,4,1322
O15213,ENSG00000227057.10,ENST00000374617.9,ENSP00000363746.4,WDR46,6,610
Q6ICG8,ENSG00000183066.14,ENST00000328823.13,ENSP00000332983.9,WBP2NL,22,309
Q6RFH5,ENSG00000133316.15,ENST00000278856.8,ENSP00000278856.4,WDR74,11,385
P41221,ENSG00000114251.14,ENST00000264634.8,ENSP00000264634.4,WNT5A,3,380
Q9H1F0,ENSG00000180305.5,ENST00000372643.4,ENSP00000361726.3,WFDC10A,20,79
O00744,ENSG00000169884.14,ENST00000301061.9,ENSP00000301061.4,WNT10B,12,389
Q86XK7,ENSG00000101842.13,ENST00000217957.9,ENSP00000217957.3,VSIG1,X,387
Q9H7M6,ENSG00000288360.1,ENST00000672332.1,ENSP00000499807.1,ZSWIM4,CHR_HG109_PATCH,989
Q15937,ENSG00000196152.10,ENST00000342483.5,ENSP00000362446.4,ZNF79,9,498
A0A1B0GTU1,ENSG00000215817.7,ENST00000651890.1,ENSP00000498875.1,ZC3H11B,1,805
Q8NEK5,ENSG00000188785.12,ENST00000366197.9,ENSP00000379482.3,ZNF548,19,533
O75800,ENSG00000004838.14,ENST00000231749.8,ENSP00000231749.3,ZMYND10,3,440
A8MXY4,ENSG00000213973.9,ENST00000596209.4,ENSP00000472969.1,ZNF99,19,864
Q8N1G0,ENSG00000143373.18,ENST00000324048.9,ENSP00000319829.5,ZNF687,1,1237
Q8NB50,ENSG00000196670.13,ENST00000502412.1,ENSP00000423820.1,ZFP62,5,900
Q6ZMS7,ENSG00000204946.10,ENST00000476295.5,ENSP00000418666.1,ZNF783,7,281
Q2TAY7,ENSG00000122692.9,ENST00000397149.4,ENSP00000380336.3,SMU1,9,513
Q96T83,ENSG00000065923.10,ENST00000328306.4,ENSP00000330320.4,SLC9A7,X,725
B3KS81,ENSG00000226763.5,ENST00000417606.3,ENSP00000414512.1,SRRM5,19,715
Q9NX45,ENSG00000120669.16,ENST00000379881.8,ENSP00000369210.3,SOHLH2,13,425
Q13487,ENSG00000104976.12,ENST00000221573.11,ENSP00000221573.5,SNAPC2,19,334
Q12824,ENSG00000099956.19,ENST00000644036.1,ENSP00000494049.1,SMARCB1,22,385
Q8N300,ENSG00000177868.12,ENST00000372521.9,ENSP00000361599.4,SVBP,1,66
P02808,ENSG00000282891.2,ENST00000635686.2,ENSP00000489243.1,STATH,CHR_HSCHR4_9_CTG12,62
Q8IYB8,ENSG00000156502.14,ENST00000359655.9,ENSP00000352678.4,SUPV3L1,10,786
P32856,ENSG00000111450.14,ENST00000392373.7,ENSP00000376178.2,STX2,12,288
Q9NX95,ENSG00000147642.17,ENST00000433638.1,ENSP00000403544.1,SYBU,8,663
P50225,ENSG00000196502.11,ENST00000314752.11,ENSP00000321988.7,SULT1A1,16,295
O15400,ENSG00000079950.14,ENST00000367941.7,ENSP00000356918.1,STX7,6,261
Q96I99,ENSG00000172340.14,ENST00000307227.9,ENSP00000307432.5,SUCLG2,3,432
O43617,ENSG00000054116.12,ENST00000373166.8,ENSP00000362261.3,TRAPPC3,1,180
Q6XPS3,ENSG00000132958.17,ENST00000400230.6,ENSP00000383089.2,TPTE2,13,522
Q15633,ENSG00000139546.11,ENST00000266987.7,ENSP00000266987.2,TARBP2,12,366
Q96Q05,ENSG00000167632.16,ENST00000438773.3,ENSP00000405060.2,TRAPPC9,8,1148
P12270,ENSG00000047410.14,ENST00000367478.9,ENSP00000356448.3,TPR,1,2363
Q8IWR1,ENSG00000213186.8,ENST00000309784.9,ENSP00000311219.4,TRIM59,3,403
Q15643,ENSG00000100815.12,ENST00000267622.8,ENSP00000267622.4,TRIP11,14,1979
Q969Q1,ENSG00000158022.6,ENST00000374272.3,ENSP00000363390.3,TRIM63,1,353
A6NGJ6,ENSG00000204450.8,ENST00000533122.3,ENSP00000483764.1,TRIM64,11,449
Q86WT6,ENSG00000185880.13,ENST00000329464.9,ENSP00000332284.3,TRIM69,15,500
O00294,ENSG00000112041.13,ENST00000229771.11,ENSP00000229771.6,TULP1,6,542
A0A0B4J266,ENSG00000211820.1,ENST00000390468.1,ENSP00000451177.1,TRAV41,14,112
A0A075B6N2,ENSG00000211747.3,ENST00000390394.3,ENSP00000374917.3,TRBV20-1,7,111
Q5VYS8,ENSG00000083223.18,ENST00000375963.8,ENSP00000365130.3,TUT7,9,1495
Q96PN7,ENSG00000124496.12,ENST00000372922.8,ENSP00000362013.4,TRERF1,6,1200
Q96A61,ENSG00000183718.5,ENST00000611618.1,ENSP00000483005.1,TRIM52,5,297
A0A1B0GXF2,ENSG00000282939.1,ENST00000634605.1,ENSP00000489072.1,TRBV7-2,7,115
Q9Y606,ENSG00000177192.14,ENST00000376649.8,ENSP00000365837.3,PUS1,12,427
A0A0K0K1A3,ENSG00000211717.3,ENST00000390364.3,ENSP00000374887.3,TRBV10-1,7,114
Q6R6M4,ENSG00000223443.2,ENST00000333796.3,ENSP00000333329.3,USP17L2,8,530
A6NCW0,ENSG00000225327.3,ENST00000530484.1,ENSP00000485323.1,USP17L3,8,530
Q96N46,ENSG00000163728.11,ENST00000296015.9,ENSP00000296015.4,TTC14,3,770
P19075,ENSG00000127324.9,ENST00000546561.2,ENSP00000447160.1,TSPAN8,12,237
Q49AM3,ENSG00000115282.20,ENST00000233623.10,ENSP00000233623.5,TTC31,2,519
Q86TZ1,ENSG00000139865.16,ENST00000267368.11,ENSP00000267368.7,TTC6,14,520
Q96AY4,ENSG00000100154.14,ENST00000397906.6,ENSP00000381003.2,TTC28,22,2481
A6NKD2,ENSG00000168757.12,ENST00000320701.8,ENSP00000314077.4,TSPY2,Y,308
Q5T6F2,ENSG00000137073.22,ENST00000360802.5,ENSP00000354039.1,UBAP2,9,1119
P0CG48,ENSG00000150991.15,ENST00000339647.6,ENSP00000344818.5,UBC,12,685
Q86UX7,ENSG00000149781.12,ENST00000279227.9,ENSP00000279227.5,FERMT3,11,667
Q6UW78,ENSG00000204922.5,ENST00000377953.4,ENSP00000367189.3,UQCC3,11,93
Q9NVA1,ENSG00000101019.22,ENST00000374385.10,ENSP00000363506.5,UQCC1,20,299
Q9BQ65,ENSG00000103005.12,ENST00000219281.8,ENSP00000219281.3,USB1,16,265
Q70J99,ENSG00000092929.11,ENST00000207549.8,ENSP00000207549.3,UNC13D,17,1090
P55089,ENSG00000163794.6,ENST00000296099.2,ENSP00000296099.2,UCN,2,124
Q92890,ENSG00000070010.19,ENST00000263202.15,ENSP00000263202.9,UFD1,22,307
P57075,ENSG00000160185.15,ENST00000319294.11,ENSP00000317327.6,UBASH3A,21,661
Q9HBG4,ENSG00000105929.16,ENST00000393054.5,ENSP00000376774.1,ATP6V0A4,7,840
Q13107,ENSG00000114316.13,ENST00000265560.9,ENSP00000265560.4,USP4,3,963
A6NNY8,ENSG00000273820.2,ENST00000621775.2,ENSP00000483631.1,USP27X,X,438
Q13488,ENSG00000110719.10,ENST00000265686.8,ENSP00000265686.3,TCIRG1,11,830
Q70EK8,ENSG00000145390.11,ENST00000450251.5,ENSP00000409906.1,USP53,4,1073
A8MV65,ENSG00000206538.9,ENST00000398399.7,ENSP00000381436.2,VGLL3,3,326
P45880,ENSG00000165637.13,ENST00000543351.5,ENSP00000443092.1,VDAC2,10,294
Q9BRX9,ENSG00000123154.12,ENST00000418543.8,ENSP00000402653.3,WDR83,19,315
P78423,ENSG00000006210.7,ENST00000006053.7,ENSP00000006053.6,CX3CL1,16,397
P04275,ENSG00000110799.13,ENST00000261405.9,ENSP00000261405.5,VWF,12,2813
Q6ZS81,ENSG00000128815.19,ENST00000325239.11,ENSP00000320563.5,WDFY4,10,3184
Q13426,ENSG00000152422.15,ENST00000511817.1,ENSP00000421491.1,XRCC4,5,336
Q9H6D3,ENSG00000158156.8,ENST00000373884.6,ENSP00000362991.5,XKR8,1,395
Q5GH73,ENSG00000171044.11,ENST00000416569.3,ENSP00000416707.2,XKR6,8,641
Q96P53,ENSG00000139668.9,ENST00000298125.7,ENSP00000298125.4,WDFY2,13,400
Q8NEX6,ENSG00000180083.11,ENST00000618797.4,ENSP00000479579.1,WFDC11,20,87
P0DP72,ENSG00000283703.2,ENST00000638636.2,ENSP00000491467.1,VSIG10L2,11,767
Q6UXN9,ENSG00000164091.12,ENST00000296490.8,ENSP00000296490.3,WDR82,3,313
Q8ND25,ENSG00000186187.12,ENST00000567962.5,ENSP00000455601.1,ZNRF1,16,227
Q96SE7,ENSG00000197937.12,ENST00000334197.11,ENSP00000334146.6,ZNF347,19,839
Q9GZX5,ENSG00000256683.7,ENST00000243644.9,ENSP00000243644.3,ZNF350,19,532
Q96IQ9,ENSG00000133250.14,ENST00000255616.8,ENSP00000255616.7,ZNF414,19,312
Q8N859,ENSG00000178665.16,ENST00000633730.1,ENSP00000487818.1,ZNF713,7,430
Q8TF45,ENSG00000196724.12,ENST00000616958.1,ENSP00000483763.1,ZNF418,19,676
Q5VIY5,ENSG00000204604.12,ENST00000595646.6,ENSP00000470381.1,ZNF468,19,522
Q9Y2P0,ENSG00000127903.14,ENST00000537055.4,ENSP00000444747.1,ZNF835,19,537
Q8N8L2,ENSG00000177599.13,ENST00000323169.10,ENSP00000313443.5,ZNF491,19,437
Q8NDP4,ENSG00000171291.8,ENST00000304030.2,ENSP00000305077.2,ZNF439,19,499
Q9BRR0,ENSG00000189298.14,ENST00000252211.7,ENSP00000252211.2,ZKSCAN3,6,538
Q68EA5,ENSG00000171970.13,ENST00000306908.10,ENSP00000303696.5,ZNF57,19,555
Q9BSK1,ENSG00000161551.14,ENST00000301399.11,ENSP00000301399.5,ZNF577,19,485
Q9UEG4,ENSG00000102870.6,ENST00000262525.6,ENSP00000262525.4,ZNF629,16,869
Q03924,ENSG00000152926.15,ENST00000620222.4,ENSP00000479944.1,ZNF117,7,483
Q6AZW8,ENSG00000280661.2,ENST00000625494.1,ENSP00000487319.1,ZNF660,CHR_HG2066_PATCH,331
Q969W1,ENSG00000171307.19,ENST00000393760.6,ENSP00000377357.1,ZDHHC16,10,377
Q9P2J8,ENSG00000197566.10,ENST00000311331.12,ENSP00000310472.7,ZNF624,17,865
P62277,ENSG00000110700.7,ENST00000525634.6,ENSP00000435777.1,RPS13,11,151
O15446,ENSG00000117877.10,ENST00000309424.7,ENSP00000310966.3,CD3EAP,19,510
Q86UD0,ENSG00000186193.9,ENST00000409687.5,ENSP00000386348.3,SAPCD2,9,394
P50443,ENSG00000155850.8,ENST00000286298.5,ENSP00000286298.4,SLC26A2,5,739
O60783,ENSG00000120333.4,ENST00000476371.1,ENSP00000420714.1,MRPS14,1,128
P13866,ENSG00000100170.10,ENST00000266088.9,ENSP00000266088.4,SLC5A1,22,664
Q9Y3D5,ENSG00000163319.11,ENST00000295491.9,ENSP00000295491.4,MRPS18C,4,142
Q9H1V8,ENSG00000197106.7,ENST00000331565.5,ENSP00000330199.3,SLC6A17,1,727
Q8N808,ENSG00000164729.7,ENST00000297307.6,ENSP00000297307.5,SLC35G3,17,338
L0R6Q1,ENSG00000176087.15,ENST00000623481.2,ENSP00000485218.1,SLC35A4,5,103
P82650,ENSG00000175110.11,ENST00000495075.5,ENSP00000418008.1,MRPS22,3,360
Q15413,ENSG00000198838.13,ENST00000634891.1,ENSP00000489262.1,RYR3,15,4870
Q86YT5,ENSG00000141485.17,ENST00000433363.7,ENSP00000406220.2,SLC13A5,17,568
Q9ULF5,ENSG00000196950.14,ENST00000359634.10,ENSP00000352655.5,SLC39A10,2,831
O43255,ENSG00000181788.4,ENST00000312960.4,ENSP00000322457.3,SIAH2,3,324
O94993,ENSG00000039600.11,ENST00000265007.11,ENSP00000265007.6,SOX30,5,753
Q9NUQ6,ENSG00000196141.14,ENST00000409140.8,ENSP00000386730.3,SPATS2L,2,558
Q68CJ6,ENSG00000189233.12,ENST00000413272.7,ENSP00000408697.2,NUGGC,8,796
Q9BXB7,ENSG00000144962.7,ENST00000351008.4,ENSP00000341765.3,SPATA16,3,569
Q7Z699,ENSG00000166068.13,ENST00000299084.9,ENSP00000299084.4,SPRED1,15,444
Q9UGT4,ENSG00000099994.11,ENST00000358321.4,ENSP00000351075.3,SUSD2,22,822
O60224,ENSG00000269791.5,ENST00000595235.5,ENSP00000469394.1,SSX4B,X,188
Q15833,ENSG00000076944.16,ENST00000221283.10,ENSP00000221283.4,STXBP2,19,593
Q9UBI4,ENSG00000067221.14,ENST00000541638.6,ENSP00000442478.2,STOML1,15,398
Q9BZV1,ENSG00000167671.12,ENST00000301281.11,ENSP00000301281.5,UBXN6,19,441
O75691,ENSG00000120800.5,ENST00000261637.5,ENSP00000261637.4,UTP20,12,2785
O75445,ENSG00000042781.14,ENST00000307340.8,ENSP00000305941.3,USH2A,1,5202
Q9H7M9,ENSG00000107738.20,ENST00000394957.8,ENSP00000378409.3,VSIR,10,311
Q9P275,ENSG00000055483.19,ENST00000312010.10,ENSP00000310590.6,AC022966.1,17,1123
A5D8V6,ENSG00000167987.11,ENST00000301765.10,ENSP00000301765.5,VPS37C,11,355
Q9H9H4,ENSG00000139722.7,ENST00000267202.7,ENSP00000267202.2,VPS37B,12,285
Q9NZC7,ENSG00000186153.17,ENST00000566780.6,ENSP00000457230.1,WWOX,16,414
Q96MX6,ENSG00000243667.7,ENST00000295121.11,ENSP00000295121.6,WDR92,2,357
P17861,ENSG00000100219.16,ENST00000216037.10,ENSP00000216037.6,XBP1,22,261
Q9HAD4,ENSG00000164253.14,ENST00000296679.9,ENSP00000296679.4,WDR41,5,459
Q8IUB2,ENSG00000124116.19,ENST00000243938.9,ENSP00000243938.4,WFDC3,20,231
Q86VR7,ENSG00000186806.5,ENST00000335624.4,ENSP00000335623.3,VSIG10L,19,867
O14905,ENSG00000276799.2,ENST00000613753.2,ENSP00000482127.1,WNT9B,CHR_HSCHR17_2_CTG5,357
O14771,ENSG00000085644.14,ENST00000416391.6,ENSP00000403892.3,ZNF213,16,459
Q14590,ENSG00000159917.17,ENST00000291182.9,ENSP00000291182.3,ZNF235,19,738
Q9UDV6,ENSG00000170260.9,ENST00000335870.7,ENSP00000338572.2,ZNF212,7,495
Q9Y2X9,ENSG00000162702.8,ENST00000367353.2,ENSP00000356322.1,ZNF281,1,895
Q8NA42,ENSG00000188283.11,ENST00000352998.7,ENSP00000340132.2,ZNF383,19,475
Q6ZNC4,ENSG00000164684.13,ENST00000327835.7,ENSP00000331462.3,ZNF704,8,412
Q68DY9,ENSG00000197128.11,ENST00000343280.8,ENSP00000341165.4,ZNF772,19,489
Q494X3,ENSG00000176222.9,ENST00000587539.2,ENSP00000466051.1,ZNF404,19,552
Q6ECI4,ENSG00000197016.12,ENST00000391709.4,ENSP00000375590.3,ZNF470,19,717
Q8TF32,ENSG00000196705.8,ENST00000311048.11,ENSP00000308578.6,ZNF431,19,576
Q6PG37,ENSG00000197863.9,ENST00000615484.4,ENSP00000478852.1,ZNF790,19,636
Q76KX8,ENSG00000198633.10,ENST00000332323.10,ENSP00000327538.6,ZNF534,19,674
Q96NB3,ENSG00000198783.6,ENST00000361952.5,ENSP00000354518.3,ZNF830,17,372
Q8TCN5,ENSG00000168813.17,ENST00000355898.6,ENSP00000348162.4,ZNF507,19,953
Q9NX65,ENSG00000140987.20,ENST00000396852.9,ENSP00000380061.4,ZSCAN32,16,697
O43309,ENSG00000158691.14,ENST00000396827.3,ENSP00000380039.3,ZSCAN12,6,604
P17039,ENSG00000168661.14,ENST00000601142.1,ENSP00000469954.1,ZNF30,19,623
O95365,ENSG00000178951.9,ENST00000601588.1,ENSP00000471865.1,ZBTB7A,19,584
Q8WTR7,ENSG00000142528.16,ENST00000270617.8,ENSP00000270617.3,ZNF473,19,871
